atco_code,name,announcement_name,severity,flags,line2_shows,line3_shows,line2_over_px,line3_over_px,suggested_value,suggestion_kind,your_value
,"Queensgate, Lincoln Road, Peterborough","Queensgate, Lincoln Road, Peterborough",warn,unreviewed-copy multiple-commas comma-space stop-scrolls,Queensgate,"Lincoln Road, Peterborough",0,1423.27099609375,"Peterborough,Queensgate, Lincoln Road",reorder,
270002702272,"Richmond House, Freiston Road, Boston","Richmond House, Freiston Road, Boston",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Richmond House,"Freiston Road, Boston",338.385498046875,857.6982421875,"Boston,Richmond House, Freiston Road",reorder,
,"Ringwood, Bretton, Peterborough","Ringwood, Bretton, Peterborough",warn,unreviewed-copy multiple-commas comma-space stop-scrolls,Ringwood,"Bretton, Peterborough",0,846.133056640625,"Peterborough,Ringwood, Bretton",reorder,
2700LBRA0181,"Rosebery Avenue, Sleaford Road, Boston","Rosebery Avenue, Sleaford Road, Boston",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Rosebery Avenue,"Sleaford Road, Boston",377.4427490234375,869.36474609375,"Boston,Rosebery Avenue, Sleaford Road",reorder,
270000009223,"Royal Oak Inn, New Bolingbroke","Royal Oak Inn, New Bolingbroke",warn,unreviewed-copy comma-space town-scrolls stop-scrolls,Royal Oak Inn,New Bolingbroke,15.4761962890625,326.9217529296875,"New Bolingbroke,Royal Oak Inn",reorder,
2700LSHV1222,New Saracen's Head PH (adj),"Saracens Head,Village Hall",warn,town-scrolls,Saracens Head,Village Hall,119.8663330078125,0,,,
270000009646,New Saracen's Head PH (opp),"Saracens Head,Village Hall",warn,town-scrolls,Saracens Head,Village Hall,119.8663330078125,0,,,
,"Serpentine Green, Hampton, Peterborough","Serpentine Green, Hampton, Peterborough",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Serpentine Green,"Hampton, Peterborough",361.92138671875,1007.73974609375,"Peterborough,Serpentine Green, Hampton",reorder,
,"Shell Petrol Station, Peterborough","Shell Petrol Station, Peterborough",warn,unreviewed-copy comma-space town-scrolls,Shell Petrol Station,Peterborough,534.7889404296875,0,"Peterborough,Shell Petrol Station",reorder,
,Spalding Grammar School,"Spalding, Grammar School",warn,comma-space stop-scrolls,Spalding,Grammar School,0,304.1973876953125,"Spalding,Grammar School",tidy,
